Job Number,City,Title,Company,Location,Skills,Posted,Link
11,new delhi,Product Analyst II,DP WORLD,Gurgaon,"business analytics expertise
   				

   					data science skills
   				

   					statistical modelling knowledge
   				

   					sql and python proficiency
   				

   					dashboard development experience
   				

   					data analytics
   				

   					bi
   				

   					dashboards
   				

   					tableau
   				

   					data visualization",Posted today,https://www.timesjobs.com/job-detail/product-analyst-ii-dp-world-gurgaon-6-to-10-yrs-jobid-BkBj072jhhlzpSvf__PLUS__uAgZw==&source=srp
12,new delhi,"Senior Manager, Software Development Engineering",Expedia Group,Gurgaon,"software development
   				

   					team leadership
   				

   					problem solving
   				

   					technical mentoring
   				

   					agile methodologies
   				

   					css
   				

   					program management
   				

   					artificial intelligence
   				

   					java
   				

   					software engineering
   				

   					html
   				

   					javascript
   				

   					messaging
   				

   					json
   				

   					machine learning
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/senior-manager-software-development-engineering-expedia-group-gurgaon-8-to-10-yrs-jobid-lAE7sU1EW2pzpSvf__PLUS__uAgZw==&source=srp
13,new delhi,Azure Cloud Infra Technical Lead,Sopra Steria,Noida/Greater Noida,"linux expertise
   				

   					automation tools
   				

   					cloud knowledge
   				

   					ci / cd pipelines
   				

   					client engagement
   				

   					rest api
   				

   					git
   				

   					xml
   				

   					json
   				

   					debugging
   				

   					mysql
   				

   					python
   				

   					oracle
   				

   					windows
   				

   					soap
   				

   					forms",Posted today,https://www.timesjobs.com/job-detail/azure-cloud-infra-technical-lead-sopra-steria-noida-greater-noida-6-to-8-yrs-jobid-rDUp4wguwYNzpSvf__PLUS__uAgZw==&source=srp
14,new delhi,"Principal Industry Architect - Banking, Financial Services and Insurance (BFSI) - India",Palo Alto Networks,"Mumbai,  Delhi,  Bengaluru / Bangalore,  Gurgaon","enterprise architecture
   				

   					cybersecurity strategy
   				

   					risk management
   				

   					technology modernization
   				

   					relationship building
   				

   					technical leader
   				

   					cloud services
   				

   					infrastructure",Posted today,https://www.timesjobs.com/job-detail/principal-industry-architect-banking-financial-services-and-insurance-bfsi-india-palo-alto-networks-mumbai-delhi-bengaluru-bangalore-gurgaon-10-to-13-yrs-jobid-niMsWvQfg3BzpSvf__PLUS__uAgZw==&source=srp
15,new delhi,Data Engineer III,Expedia Group,Gurgaon,"data pipeline management
   				

   					programming languages  ( java
   				

   					scala
   				

   					python )
   				

   					spark tuning
   				

   					sql / mongo expertise
   				

   					cloud technology experience
   				

   					algorithms
   				

   					bug fixing
   				

   					storage
   				

   					data extraction
   				

   					data structures
   				

   					technical skills
   				

   					messaging
   				

   					forms",Posted today,https://www.timesjobs.com/job-detail/data-engineer-iii-expedia-group-gurgaon-4-to-7-yrs-jobid-CE9AxlmYSh1zpSvf__PLUS__uAgZw==&source=srp
16,new delhi,Software Development Engineer III - Test Automation,Expedia Group,Gurgaon,"automation framework development
   				

   					test case review
   				

   					strong coding skills
   				

   					agile testing practices
   				

   					continuous integration tools
   				

   					test automation
   				

   					test cases
   				

   					selenium
   				

   					data structures
   				

   					test scenarios
   				

   					appium
   				

   					individual contributor
   				

   					ui automation
   				

   					forms",Posted today,https://www.timesjobs.com/job-detail/software-development-engineer-iii-test-automation-expedia-group-gurgaon-7-to-10-yrs-jobid-qCsSwry4BflzpSvf__PLUS__uAgZw==&source=srp
17,new delhi,Head Data Analytics- Audit. Consulting & Advisory Manager,ALLIANZ,Noida/Greater Noida,"data analytics leadership
   				

   					internal audit expertise
   				

   					advanced analytics tools
   				

   					project management skills
   				

   					communication & collaboration
   				

   					bi
   				

   					sql
   				

   					data science
   				

   					tableau",Posted today,https://www.timesjobs.com/job-detail/head-data-analytics-audit-consulting-advisory-manager-allianz-noida-greater-noida-5-to-10-yrs-jobid-Z7AtYr46rB5zpSvf__PLUS__uAgZw==&source=srp
18,new delhi,Computer Scientist - I,Adobe Systems Ltd,Noida/Greater Noida,"java development
   				

   					spring boot
   				

   					api integration
   				

   					devops practices
   				

   					database management
   				

   					fundamentals
   				

   					algorithms
   				

   					elastic search
   				

   					html
   				

   					mysql
   				

   					mongodb
   				

   					rest
   				

   					cassandra",Posted today,https://www.timesjobs.com/job-detail/computer-scientist-i-adobe-systems-ltd-noida-greater-noida-4-to-7-yrs-jobid-onv5a3xKhwZzpSvf__PLUS__uAgZw==&source=srp
19,new delhi,Senior Engineering Manager - I,Adobe Systems Ltd,Noida/Greater Noida,"people management
   				

   					programming languages
   				

   					cloud applications
   				

   					database management
   				

   					system administration
   				

   					c
   				

   					storage
   				

   					security
   				

   					java
   				

   					linux
   				

   					mysql
   				

   					web api
   				

   					python
   				

   					information management
   				

   					problem solving",Posted today,https://www.timesjobs.com/job-detail/senior-engineering-manager-i-adobe-systems-ltd-noida-greater-noida-9-to-12-yrs-jobid-__PLUS__92j3CfqWZNzpSvf__PLUS__uAgZw==&source=srp
20,new delhi,Sr Computer Scientist- Frontend,Adobe Systems Ltd,Noida/Greater Noida,"frontend development
   				

   					ui framework design
   				

   					javascript expertise
   				

   					api design
   				

   					problem solving
   				

   					json
   				

   					html
   				

   					rest",Posted today,https://www.timesjobs.com/job-detail/sr-computer-scientist-frontend-adobe-systems-ltd-noida-greater-noida-5-to-8-yrs-jobid-sWw9SWXG3aFzpSvf__PLUS__uAgZw==&source=srp
21,new delhi,Art Director,DataLabs by Inc 42,Delhi,"graphic design expertise
   				

   					project management skills
   				

   					branding and guidelines
   				

   					creative leadership
   				

   					digital media design
   				

   					typography
   				

   					indesign
   				

   					photoshop
   				

   					designer
   				

   					animation
   				

   					visual design
   				

   					logo design
   				

   					illustrator",Posted today,https://www.timesjobs.com/job-detail/art-director-datalabs-by-inc-42-delhi-5-to-8-yrs-jobid-akfzoJDhLvNzpSvf__PLUS__uAgZw==&source=srp
22,new delhi,Testing Engineer - Lepton Software,LEPTON SOFTWARE,Gurgaon,"product testing
   				

   					uat coordination
   				

   					test automation
   				

   					mobile app testing
   				

   					bug reporting tools
   				

   					continuous integration
   				

   					performance testing
   				

   					test management
   				

   					manual testing
   				

   					load testing
   				

   					selenium
   				

   					security testing
   				

   					defect management
   				

   					jira
   				

   					user manual
   				

   					appium
   				

   					qtp
   				

   					windows
   				

   					robotium
   				

   					metrics",Posted today,https://www.timesjobs.com/job-detail/testing-engineer-lepton-software-lepton-software-gurgaon-3-to-5-yrs-jobid-5RkIvudhHRtzpSvf__PLUS__uAgZw==&source=srp
23,new delhi,Corporate Learning Senior Specialist Job Details | SAP,SAP Ariba,"Bengaluru / Bangalore,  null,  Pune,  Hyderabad/Secunderabad,  Gurgaon","ai training development
   				

   					machine learning expertise
   				

   					python programming
   				

   					data literacy promotion
   				

   					sap ai portfolio knowledge
   				

   					artificial intelligence
   				

   					database
   				

   					infrastructure",Posted today,https://www.timesjobs.com/job-detail/corporate-learning-senior-specialist-job-details-sap-sap-ariba-bengaluru-bangalore-null-pune-hyderabad-secunderabad-gurgaon-7-to-10-yrs-jobid-UVwCacFyLrZzpSvf__PLUS__uAgZw==&source=srp
24,new delhi,SEO Trainee,Dignitas Digital,Delhi,"keyword research
   				

   					on page seo
   				

   					technical audits
   				

   					performance monitoring
   				

   					content creation
   				

   					seo tools
   				

   					website optimization
   				

   					search engine optimization
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/seo-trainee-dignitas-digital-delhi-0-to-1-yrs-jobid-ev5RDYZqDdFzpSvf__PLUS__uAgZw==&source=srp
25,new delhi,Hiring For Oracle Database Engineer,krazy mantra hr solutions,Gurgaon,"oracle database technologies
   				

   					pl / sql development
   				

   					ci / cd practices
   				

   					version control git
   				

   					microservices architecture
   				

   					rdbms
   				

   					web services
   				

   					sql server",Posted today,https://www.timesjobs.com/job-detail/hiring-for-oracle-database-engineer-krazy-mantra-hr-solutions-gurgaon-3-to-5-yrs-jobid-SVng4121v99zpSvf__PLUS__uAgZw==&source=srp
26,new delhi,Sr. Computer Scientist-I,Adobe Systems Ltd,Noida/Greater Noida,"microservices architecture
   				

   					advanced algorithm design
   				

   					cloud based web services
   				

   					systems integration
   				

   					java / python programming
   				

   					information technology
   				

   					html
   				

   					mysql
   				

   					web technologies
   				

   					fundamentals
   				

   					algorithms
   				

   					docker
   				

   					mongodb
   				

   					rest
   				

   					junit
   				

   					mobile
   				

   					business environment
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/sr-computer-scientist-i-adobe-systems-ltd-noida-greater-noida-10-to-13-yrs-jobid-Cei6vF__SLASH__D2gBzpSvf__PLUS__uAgZw==&source=srp
27,new delhi,Senior Operation Managers,Bank of America,"Mumbai,  Hyderabad/Secunderabad,  Gurgaon","fraud risk management
   				

   					data analytics
   				

   					statistical modeling
   				

   					team leadership
   				

   					client communication
   				

   					visualization
   				

   					sql
   				

   					data extraction
   				

   					sas
   				

   					tableau
   				

   					analyst
   				

   					digital banking",Posted today,https://www.timesjobs.com/job-detail/senior-operation-managers-bank-of-america-mumbai-hyderabad-secunderabad-gurgaon-12-to-15-yrs-jobid-t28GIkwHiBZzpSvf__PLUS__uAgZw==&source=srp
28,new delhi,Engineering Manager,Adobe Systems Ltd,Noida/Greater Noida,"leadership skills
   				

   					software architecture
   				

   					cloud platforms
   				

   					full stack development
   				

   					problem solving
   				

   					java
   				

   					devops
   				

   					html
   				

   					mysql
   				

   					api
   				

   					c#
   				

   					python
   				

   					nosql
   				

   					docker
   				

   					database
   				

   					git
   				

   					postgresql
   				

   					mongodb
   				

   					software delivery
   				

   					extjs
   				

   					infrastructure
   				

   					php",Posted today,https://www.timesjobs.com/job-detail/engineering-manager-adobe-systems-ltd-noida-greater-noida-9-to-12-yrs-jobid-__SLASH__1e3T3a__SLASH__3lRzpSvf__PLUS__uAgZw==&source=srp
29,new delhi,Software Development Engineer II,Expedia Group,Gurgaon,"scalable system development
   				

   					cloud infrastructure integration
   				

   					java and react proficiency
   				

   					continuous integration methodologies
   				

   					systems design and documentation
   				

   					storage
   				

   					security
   				

   					problem solving
   				

   					messaging
   				

   					spring boot
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/software-development-engineer-ii-expedia-group-gurgaon-3-to-5-yrs-jobid-p2m__SLASH__J5k06TRzpSvf__PLUS__uAgZw==&source=srp
30,new delhi,Senior Sales Support Specialist,Harvard Business Publishing,Gurgaon,"research analysis
   				

   					data visualization
   				

   					reporting skills
   				

   					communication skills
   				

   					team management
   				

   					sql
   				

   					press
   				

   					team player
   				

   					data reports",Posted today,https://www.timesjobs.com/job-detail/senior-sales-support-specialist-harvard-business-publishing-gurgaon-5-to-6-yrs-jobid-xKbz6e__PLUS____SLASH__KuVzpSvf__PLUS__uAgZw==&source=srp
31,new delhi,"Senior Storage Administrator, IT",BOSTON SCIENTIFIC,Gurgaon,"storage technologies
   				

   					backup solutions
   				

   					cloud transformation
   				

   					troubleshooting expertise
   				

   					scripting automation
   				

   					data domain
   				

   					information technology
   				

   					brocade
   				

   					veritas netbackup
   				

   					security
   				

   					zoning
   				

   					powershell
   				

   					data protection
   				

   					emc storage
   				

   					san
   				

   					infrastructure
   				

   					aws
   				

   					gateway",Posted today,https://www.timesjobs.com/job-detail/senior-storage-administrator-it-boston-scientific-gurgaon-8-to-11-yrs-jobid-PFBkgRhf1pZzpSvf__PLUS__uAgZw==&source=srp
32,new delhi,Identity and Access Engineer,Saxo Bank,Gurgaon,"identity management solutions
   				

   					sailpoint identitynow expertise
   				

   					powershell scripting proficiency
   				

   					api configuration skills
   				

   					automation experience
   				

   					information technology
   				

   					security",Posted today,https://www.timesjobs.com/job-detail/identity-and-access-engineer-saxo-bank-gurgaon-5-to-10-yrs-jobid-vVQ7fKNhhUhzpSvf__PLUS__uAgZw==&source=srp
33,new delhi,"Web Tech Platform Engineering, Vice President",BLACKROCK,"Atlanta,  Gurgaon","software development
   				

   					data management
   				

   					agile delivery
   				

   					team collaboration
   				

   					problem solving
   				

   					java
   				

   					devops
   				

   					big data
   				

   					python
   				

   					nosql
   				

   					cassandra
   				

   					docker
   				

   					hadoop
   				

   					mongodb
   				

   					microsoft azure",Posted today,https://www.timesjobs.com/job-detail/web-tech-platform-engineering-vice-president-blackrock-atlanta-gurgaon-8-to-10-yrs-jobid-Q8pZI24kdahzpSvf__PLUS__uAgZw==&source=srp
34,new delhi,"Associate, Data Engineering",BLACKROCK,Gurgaon,"data engineering expertise
   				

   					etl solution design
   				

   					sql performance tuning
   				

   					cloud data storage
   				

   					team leadership experience
   				

   					security
   				

   					big data
   				

   					python
   				

   					infrastructure",Posted today,https://www.timesjobs.com/job-detail/associate-data-engineering-blackrock-gurgaon-3-to-5-yrs-jobid-wAcR5XREsOpzpSvf__PLUS__uAgZw==&source=srp
35,new delhi,Director Product Management,Expedia Group,Gurgaon,"product management
   				

   					team leadership
   				

   					data analysis
   				

   					platform development
   				

   					stakeholder management
   				

   					program management
   				

   					director
   				

   					product delivery
   				

   					messaging",Posted today,https://www.timesjobs.com/job-detail/director-product-management-expedia-group-gurgaon-10-to-13-yrs-jobid-fDS4veKUxIdzpSvf__PLUS__uAgZw==&source=srp
36,new delhi,Product Analyst II,DP WORLD,Gurgaon,"business analytics expertise
   				

   					data science skills
   				

   					statistical modelling knowledge
   				

   					sql and python proficiency
   				

   					dashboard development experience
   				

   					data analytics
   				

   					bi
   				

   					dashboards
   				

   					tableau
   				

   					data visualization",Posted today,https://www.timesjobs.com/job-detail/product-analyst-ii-dp-world-gurgaon-6-to-10-yrs-jobid-BkBj072jhhlzpSvf__PLUS__uAgZw==&source=srp
37,new delhi,"Senior Manager, Software Development Engineering",Expedia Group,Gurgaon,"software development
   				

   					team leadership
   				

   					problem solving
   				

   					technical mentoring
   				

   					agile methodologies
   				

   					css
   				

   					program management
   				

   					artificial intelligence
   				

   					java
   				

   					software engineering
   				

   					html
   				

   					javascript
   				

   					messaging
   				

   					json
   				

   					machine learning
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/senior-manager-software-development-engineering-expedia-group-gurgaon-8-to-10-yrs-jobid-lAE7sU1EW2pzpSvf__PLUS__uAgZw==&source=srp
38,new delhi,Azure Cloud Infra Technical Lead,Sopra Steria,Noida/Greater Noida,"linux expertise
   				

   					automation tools
   				

   					cloud knowledge
   				

   					ci / cd pipelines
   				

   					client engagement
   				

   					rest api
   				

   					git
   				

   					xml
   				

   					json
   				

   					debugging
   				

   					mysql
   				

   					python
   				

   					oracle
   				

   					windows
   				

   					soap
   				

   					forms",Posted today,https://www.timesjobs.com/job-detail/azure-cloud-infra-technical-lead-sopra-steria-noida-greater-noida-6-to-8-yrs-jobid-rDUp4wguwYNzpSvf__PLUS__uAgZw==&source=srp
39,new delhi,"Principal Industry Architect - Banking, Financial Services and Insurance (BFSI) - India",Palo Alto Networks,"Mumbai,  Delhi,  Bengaluru / Bangalore,  Gurgaon","enterprise architecture
   				

   					cybersecurity strategy
   				

   					risk management
   				

   					technology modernization
   				

   					relationship building
   				

   					technical leader
   				

   					cloud services
   				

   					infrastructure",Posted today,https://www.timesjobs.com/job-detail/principal-industry-architect-banking-financial-services-and-insurance-bfsi-india-palo-alto-networks-mumbai-delhi-bengaluru-bangalore-gurgaon-10-to-13-yrs-jobid-niMsWvQfg3BzpSvf__PLUS__uAgZw==&source=srp
40,new delhi,Data Engineer III,Expedia Group,Gurgaon,"data pipeline management
   				

   					programming languages  ( java
   				

   					scala
   				

   					python )
   				

   					spark tuning
   				

   					sql / mongo expertise
   				

   					cloud technology experience
   				

   					algorithms
   				

   					bug fixing
   				

   					storage
   				

   					data extraction
   				

   					data structures
   				

   					technical skills
   				

   					messaging
   				

   					forms",Posted today,https://www.timesjobs.com/job-detail/data-engineer-iii-expedia-group-gurgaon-4-to-7-yrs-jobid-CE9AxlmYSh1zpSvf__PLUS__uAgZw==&source=srp
41,new delhi,Software Development Engineer III - Test Automation,Expedia Group,Gurgaon,"automation framework development
   				

   					test case review
   				

   					strong coding skills
   				

   					agile testing practices
   				

   					continuous integration tools
   				

   					test automation
   				

   					test cases
   				

   					selenium
   				

   					data structures
   				

   					test scenarios
   				

   					appium
   				

   					individual contributor
   				

   					ui automation
   				

   					forms",Posted today,https://www.timesjobs.com/job-detail/software-development-engineer-iii-test-automation-expedia-group-gurgaon-7-to-10-yrs-jobid-qCsSwry4BflzpSvf__PLUS__uAgZw==&source=srp
42,new delhi,Head Data Analytics- Audit. Consulting & Advisory Manager,ALLIANZ,Noida/Greater Noida,"data analytics leadership
   				

   					internal audit expertise
   				

   					advanced analytics tools
   				

   					project management skills
   				

   					communication & collaboration
   				

   					bi
   				

   					sql
   				

   					data science
   				

   					tableau",Posted today,https://www.timesjobs.com/job-detail/head-data-analytics-audit-consulting-advisory-manager-allianz-noida-greater-noida-5-to-10-yrs-jobid-Z7AtYr46rB5zpSvf__PLUS__uAgZw==&source=srp
43,new delhi,Computer Scientist - I,Adobe Systems Ltd,Noida/Greater Noida,"java development
   				

   					spring boot
   				

   					api integration
   				

   					devops practices
   				

   					database management
   				

   					fundamentals
   				

   					algorithms
   				

   					elastic search
   				

   					html
   				

   					mysql
   				

   					mongodb
   				

   					rest
   				

   					cassandra",Posted today,https://www.timesjobs.com/job-detail/computer-scientist-i-adobe-systems-ltd-noida-greater-noida-4-to-7-yrs-jobid-onv5a3xKhwZzpSvf__PLUS__uAgZw==&source=srp
44,new delhi,Senior Engineering Manager - I,Adobe Systems Ltd,Noida/Greater Noida,"people management
   				

   					programming languages
   				

   					cloud applications
   				

   					database management
   				

   					system administration
   				

   					c
   				

   					storage
   				

   					security
   				

   					java
   				

   					linux
   				

   					mysql
   				

   					web api
   				

   					python
   				

   					information management
   				

   					problem solving",Posted today,https://www.timesjobs.com/job-detail/senior-engineering-manager-i-adobe-systems-ltd-noida-greater-noida-9-to-12-yrs-jobid-__PLUS__92j3CfqWZNzpSvf__PLUS__uAgZw==&source=srp
45,new delhi,Sr Computer Scientist- Frontend,Adobe Systems Ltd,Noida/Greater Noida,"frontend development
   				

   					ui framework design
   				

   					javascript expertise
   				

   					api design
   				

   					problem solving
   				

   					json
   				

   					html
   				

   					rest",Posted today,https://www.timesjobs.com/job-detail/sr-computer-scientist-frontend-adobe-systems-ltd-noida-greater-noida-5-to-8-yrs-jobid-sWw9SWXG3aFzpSvf__PLUS__uAgZw==&source=srp
46,new delhi,Art Director,DataLabs by Inc 42,Delhi,"graphic design expertise
   				

   					project management skills
   				

   					branding and guidelines
   				

   					creative leadership
   				

   					digital media design
   				

   					typography
   				

   					indesign
   				

   					photoshop
   				

   					designer
   				

   					animation
   				

   					visual design
   				

   					logo design
   				

   					illustrator",Posted today,https://www.timesjobs.com/job-detail/art-director-datalabs-by-inc-42-delhi-5-to-8-yrs-jobid-akfzoJDhLvNzpSvf__PLUS__uAgZw==&source=srp
47,new delhi,Testing Engineer - Lepton Software,LEPTON SOFTWARE,Gurgaon,"product testing
   				

   					uat coordination
   				

   					test automation
   				

   					mobile app testing
   				

   					bug reporting tools
   				

   					continuous integration
   				

   					performance testing
   				

   					test management
   				

   					manual testing
   				

   					load testing
   				

   					selenium
   				

   					security testing
   				

   					defect management
   				

   					jira
   				

   					user manual
   				

   					appium
   				

   					qtp
   				

   					windows
   				

   					robotium
   				

   					metrics",Posted today,https://www.timesjobs.com/job-detail/testing-engineer-lepton-software-lepton-software-gurgaon-3-to-5-yrs-jobid-5RkIvudhHRtzpSvf__PLUS__uAgZw==&source=srp
48,new delhi,Corporate Learning Senior Specialist Job Details | SAP,SAP Ariba,"Bengaluru / Bangalore,  null,  Pune,  Hyderabad/Secunderabad,  Gurgaon","ai training development
   				

   					machine learning expertise
   				

   					python programming
   				

   					data literacy promotion
   				

   					sap ai portfolio knowledge
   				

   					artificial intelligence
   				

   					database
   				

   					infrastructure",Posted today,https://www.timesjobs.com/job-detail/corporate-learning-senior-specialist-job-details-sap-sap-ariba-bengaluru-bangalore-null-pune-hyderabad-secunderabad-gurgaon-7-to-10-yrs-jobid-UVwCacFyLrZzpSvf__PLUS__uAgZw==&source=srp
49,new delhi,SEO Trainee,Dignitas Digital,Delhi,"keyword research
   				

   					on page seo
   				

   					technical audits
   				

   					performance monitoring
   				

   					content creation
   				

   					seo tools
   				

   					website optimization
   				

   					search engine optimization
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/seo-trainee-dignitas-digital-delhi-0-to-1-yrs-jobid-ev5RDYZqDdFzpSvf__PLUS__uAgZw==&source=srp
50,new delhi,Hiring For Oracle Database Engineer,krazy mantra hr solutions,Gurgaon,"oracle database technologies
   				

   					pl / sql development
   				

   					ci / cd practices
   				

   					version control git
   				

   					microservices architecture
   				

   					rdbms
   				

   					web services
   				

   					sql server",Posted today,https://www.timesjobs.com/job-detail/hiring-for-oracle-database-engineer-krazy-mantra-hr-solutions-gurgaon-3-to-5-yrs-jobid-SVng4121v99zpSvf__PLUS__uAgZw==&source=srp
51,new delhi,Sr. Computer Scientist-I,Adobe Systems Ltd,Noida/Greater Noida,"microservices architecture
   				

   					advanced algorithm design
   				

   					cloud based web services
   				

   					systems integration
   				

   					java / python programming
   				

   					information technology
   				

   					html
   				

   					mysql
   				

   					web technologies
   				

   					fundamentals
   				

   					algorithms
   				

   					docker
   				

   					mongodb
   				

   					rest
   				

   					junit
   				

   					mobile
   				

   					business environment
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/sr-computer-scientist-i-adobe-systems-ltd-noida-greater-noida-10-to-13-yrs-jobid-Cei6vF__SLASH__D2gBzpSvf__PLUS__uAgZw==&source=srp
52,new delhi,Senior Operation Managers,Bank of America,"Mumbai,  Hyderabad/Secunderabad,  Gurgaon","fraud risk management
   				

   					data analytics
   				

   					statistical modeling
   				

   					team leadership
   				

   					client communication
   				

   					visualization
   				

   					sql
   				

   					data extraction
   				

   					sas
   				

   					tableau
   				

   					analyst
   				

   					digital banking",Posted today,https://www.timesjobs.com/job-detail/senior-operation-managers-bank-of-america-mumbai-hyderabad-secunderabad-gurgaon-12-to-15-yrs-jobid-t28GIkwHiBZzpSvf__PLUS__uAgZw==&source=srp
